Device,"2026-05-20--2026-06-19_Avg position","2026-04-19--2026-05-19_Avg position",2026-05-20--2026-06-19_Clicks,2026-04-19--2026-05-19_Clicks,2026-05-20--2026-06-19_Impressions,2026-04-19--2026-05-19_Impressions,2026-05-20--2026-06-19_CTR,2026-04-19--2026-05-19_CTR
Desktop,42.44,,4,,35192,,0.01,
Mobile,48.1,,4,,2814,,0.14,
Tablet,61.56,,0,,72,,0,
