BASE_URL=http://127.0.0.1:8788
WARM_RUNS=3  SLUGS=19

slug,route,phase,run,http,ttfb_ms,total_ms,bytes
rocket-loans,/r/rocket-loans,warm,1,200,42.6,42.8,1138
rocket-loans,/r/rocket-loans,warm,2,200,35.7,36.0,1138
rocket-loans,/r/rocket-loans,warm,3,200,39.0,39.1,1138
rocket-loans,/api/lender/rocket-loans,cold,1,200,38.9,39.0,254
rocket-loans,/api/lender/rocket-loans,warm,1,200,39.8,39.9,254
rocket-loans,/api/lender/rocket-loans,warm,2,200,39.3,39.4,254
rocket-loans,/api/lender/rocket-loans,warm,3,200,37.6,37.7,254
sky-blue-credit,/r/sky-blue-credit,cold,1,200,42.5,42.8,1179
sky-blue-credit,/r/sky-blue-credit,warm,1,200,41.0,41.2,1179
sky-blue-credit,/r/sky-blue-credit,warm,2,200,42.3,42.5,1179
sky-blue-credit,/r/sky-blue-credit,warm,3,200,37.7,37.9,1179
sky-blue-credit,/api/lender/sky-blue-credit,cold,1,200,39.2,39.3,269
sky-blue-credit,/api/lender/sky-blue-credit,warm,1,200,38.8,38.8,269
sky-blue-credit,/api/lender/sky-blue-credit,warm,2,200,38.9,39.0,269
sky-blue-credit,/api/lender/sky-blue-credit,warm,3,200,38.5,38.5,269
sofi,/r/sofi,cold,1,200,38.7,38.8,1075
sofi,/r/sofi,warm,1,200,36.9,37.0,1075
sofi,/r/sofi,warm,2,200,35.2,35.4,1075
sofi,/r/sofi,warm,3,200,35.8,35.9,1075
sofi,/api/lender/sofi,cold,1,200,42.5,42.5,223
sofi,/api/lender/sofi,warm,1,200,36.5,36.6,223
sofi,/api/lender/sofi,warm,2,200,35.9,36.0,223
sofi,/api/lender/sofi,warm,3,200,40.8,40.9,223
the-credit-people,/r/the-credit-people,cold,1,200,37.2,37.4,1172
the-credit-people,/r/the-credit-people,warm,1,200,38.8,38.9,1172
the-credit-people,/r/the-credit-people,warm,2,200,39.1,39.1,1172
the-credit-people,/r/the-credit-people,warm,3,200,36.6,36.8,1172
the-credit-people,/api/lender/the-credit-people,cold,1,200,37.7,37.8,268
the-credit-people,/api/lender/the-credit-people,warm,1,200,41.2,41.4,268
the-credit-people,/api/lender/the-credit-people,warm,2,200,33.2,33.2,268
the-credit-people,/api/lender/the-credit-people,warm,3,200,33.8,34.0,268
upgrade,/r/upgrade,cold,1,200,37.3,37.4,1103
upgrade,/r/upgrade,warm,1,200,37.7,37.8,1103
upgrade,/r/upgrade,warm,2,200,37.7,37.7,1103
upgrade,/r/upgrade,warm,3,200,33.4,33.6,1103
upgrade,/api/lender/upgrade,cold,1,200,38.0,38.0,239
upgrade,/api/lender/upgrade,warm,1,200,39.0,39.1,239
upgrade,/api/lender/upgrade,warm,2,200,35.4,35.5,239
upgrade,/api/lender/upgrade,warm,3,200,35.1,35.1,239
upstart,/r/upstart,cold,1,200,37.4,37.6,1102
upstart,/r/upstart,warm,1,200,38.9,39.1,1102
upstart,/r/upstart,warm,2,200,37.2,37.2,1102
upstart,/r/upstart,warm,3,200,34.7,34.9,1102
upstart,/api/lender/upstart,cold,1,200,38.3,38.3,238
upstart,/api/lender/upstart,warm,1,200,44.9,45.0,238
upstart,/api/lender/upstart,warm,2,200,39.5,39.5,238
upstart,/api/lender/upstart,warm,3,200,35.2,35.3,238
wallethub,/r/wallethub,cold,1,200,39.1,39.2,1120
wallethub,/r/wallethub,warm,1,200,38.2,38.4,1120
wallethub,/r/wallethub,warm,2,200,38.5,38.6,1120
wallethub,/r/wallethub,warm,3,200,36.5,36.6,1120
wallethub,/api/lender/wallethub,cold,1,200,38.7,38.8,248
wallethub,/api/lender/wallethub,warm,1,200,40.2,40.2,248
wallethub,/api/lender/wallethub,warm,2,200,36.5,36.5,248
wallethub,/api/lender/wallethub,warm,3,200,42.7,42.8,248

=== summary ===
cold  n=38  p50=39.1ms  p95=46.1ms  max=119.3ms
warm  n=114  p50=37.8ms  p95=43.1ms  max=48.7ms

Acceptance bar: warm<100ms p95, cold<600ms p95
