route_family,slug,url,title,h1,words,links,review_links,tool_links,answer_links,browse_links,has_form,borrowing_quiz_link,gsc_avg_position,gsc_clicks,gsc_impressions,gsc_ctr
city,marrero-la,https://www.creditdoc.co/city/marrero-la/,"Credit Repair & Financial Services in Marrero, LA (2026)",Credit Repair & Financial Services in Marrero,1461,173,10,21,0,0,False,True,69.6,0,5,0
city,philadelphia-pa,https://www.creditdoc.co/city/philadelphia-pa/,"Credit Repair & Financial Services in Philadelphia, PA",Credit Repair & Financial Services in Philadelphia,5986,268,77,21,0,9,False,True,3.25,0,4,0
city,omaha-ne,https://www.creditdoc.co/city/omaha-ne/,"Credit Repair & Financial Services in Omaha, NE (2026)",Credit Repair & Financial Services in Omaha,3262,216,39,21,0,5,False,True,4.5,0,4,0
city,norfolk-va,https://www.creditdoc.co/city/norfolk-va/,"Credit Repair & Financial Services in Norfolk, VA (2026)",Credit Repair & Financial Services in Norfolk,1987,185,17,21,0,1,False,True,4.75,0,4,0
city,national-city-ca,https://www.creditdoc.co/city/national-city-ca/,"Credit Repair & Financial Services in National City, CA",Credit Repair & Financial Services in National City,2266,189,19,21,0,2,False,True,5.25,0,4,0
city,highland-park-mi,https://www.creditdoc.co/city/highland-park-mi/,"Credit Repair & Financial Services in Highland Park, MI",Credit Repair & Financial Services in Highland Park,1652,178,13,21,0,0,False,True,1,0,3,0
city,oakland-ca,https://www.creditdoc.co/city/oakland-ca/,"Credit Repair & Financial Services in Oakland, CA (2026)",Credit Repair & Financial Services in Oakland,2198,192,23,21,0,1,False,True,4.33,0,3,0
city,miami-fl,https://www.creditdoc.co/city/miami-fl/,"Credit Repair & Financial Services in Miami, FL (2026)",Credit Repair & Financial Services in Miami,6510,277,82,21,0,13,False,True,5.67,0,3,0
city,goodlettsville-tn,https://www.creditdoc.co/city/goodlettsville-tn/,"Credit Repair & Financial Services in Goodlettsville, TN",Credit Repair & Financial Services in Goodlettsville,1627,180,13,21,0,0,False,True,6.33,0,3,0
city,chula-vista-ca,https://www.creditdoc.co/city/chula-vista-ca/,"Credit Repair & Financial Services in Chula Vista, CA (2026)",Credit Repair & Financial Services in Chula Vista,2203,192,16,21,0,2,False,True,8,0,3,0
city,opa-locka-fl,https://www.creditdoc.co/city/opa-locka-fl/,"Credit Repair & Financial Services in Opa-locka, FL (2026)",Credit Repair & Financial Services in Opa-locka,1587,174,10,21,0,1,False,True,8,0,3,0
city,san-ysidro-ca,https://www.creditdoc.co/city/san-ysidro-ca/,"Credit Repair & Financial Services in San Ysidro, CA (2026)",Credit Repair & Financial Services in San Ysidro,1685,176,13,21,0,0,False,True,8,0,3,0
city,jefferson-la,https://www.creditdoc.co/city/jefferson-la/,"Credit Repair & Financial Services in Jefferson, LA (2026)",Credit Repair & Financial Services in Jefferson,1387,173,10,21,0,0,False,True,24.67,0,3,0
city,riverdale-ga,https://www.creditdoc.co/city/riverdale-ga/,"Credit Repair & Financial Services in Riverdale, GA (2026)",Credit Repair & Financial Services in Riverdale,1385,173,10,21,0,0,False,True,63.33,0,3,0
city,commerce-city-co,https://www.creditdoc.co/city/commerce-city-co/,"Credit Repair & Financial Services in Commerce City, CO",Credit Repair & Financial Services in Commerce City,1541,177,12,21,0,0,False,True,65.67,0,3,0
city,van-nuys-ca,https://www.creditdoc.co/city/van-nuys-ca/,"Credit Repair & Financial Services in Van Nuys, CA (2026)",Credit Repair & Financial Services in Van Nuys,1908,180,17,21,0,0,False,True,87,0,3,0
city,hollywood-fl,https://www.creditdoc.co/city/hollywood-fl/,"Credit Repair & Financial Services in Hollywood, FL (2026)",Credit Repair & Financial Services in Hollywood,2001,188,17,21,0,0,False,True,3.5,0,2,0
city,irving-tx,https://www.creditdoc.co/city/irving-tx/,"Credit Repair & Financial Services in Irving, TX (2026)",Credit Repair & Financial Services in Irving,2326,193,24,21,0,2,False,True,4,0,2,0
city,new-york-ny,https://www.creditdoc.co/city/new-york-ny/,"Credit Repair & Financial Services in New York, NY (2026)",Credit Repair & Financial Services in New York,7477,297,89,21,0,15,False,True,6,0,2,0
