route_family,slug,url,title,h1,words,links,review_links,tool_links,answer_links,browse_links,has_form,borrowing_quiz_link
city,pasadena-tx,https://www.creditdoc.co/city/pasadena-tx/,"Credit Repair & Financial Services in Pasadena, TX (2026)",Credit Repair & Financial Services in Pasadena,1947,188,18,21,0,1,False,True
city,pensacola-fl,https://www.creditdoc.co/city/pensacola-fl/,"Credit Repair & Financial Services in Pensacola, FL (2026)",Credit Repair & Financial Services in Pensacola,1414,173,10,21,0,0,False,True
city,peoria-az,https://www.creditdoc.co/city/peoria-az/,"Credit Repair & Financial Services in Peoria, AZ (2026)",Credit Repair & Financial Services in Peoria,1488,175,8,21,0,0,False,True
city,peoria-il,https://www.creditdoc.co/city/peoria-il/,"Credit Repair & Financial Services in Peoria, IL (2026)",Credit Repair & Financial Services in Peoria,1523,175,12,21,0,0,False,True
city,pflugerville-tx,https://www.creditdoc.co/city/pflugerville-tx/,"Credit Repair & Financial Services in Pflugerville, TX",Credit Repair & Financial Services in Pflugerville,1467,173,10,21,0,0,False,True
city,philadelphia-pa,https://www.creditdoc.co/city/philadelphia-pa/,"Credit Repair & Financial Services in Philadelphia, PA",Credit Repair & Financial Services in Philadelphia,5986,268,77,21,0,9,False,True
city,phoenix-az,https://www.creditdoc.co/city/phoenix-az/,"Credit Repair & Financial Services in Phoenix, AZ (2026)",Credit Repair & Financial Services in Phoenix,6241,274,81,21,0,12,False,True
city,pittsburgh-pa,https://www.creditdoc.co/city/pittsburgh-pa/,"Credit Repair & Financial Services in Pittsburgh, PA (2026)",Credit Repair & Financial Services in Pittsburgh,3533,223,42,21,0,4,False,True
city,plano-tx,https://www.creditdoc.co/city/plano-tx/,"Credit Repair & Financial Services in Plano, TX (2026)",Credit Repair & Financial Services in Plano,2278,191,22,21,0,1,False,True
city,portland-me,https://www.creditdoc.co/city/portland-me/,"Credit Repair & Financial Services in Portland, ME (2026)",Credit Repair & Financial Services in Portland,1629,179,13,21,0,0,False,True
city,portland-or,https://www.creditdoc.co/city/portland-or/,"Credit Repair & Financial Services in Portland, OR (2026)",Credit Repair & Financial Services in Portland,2723,205,32,21,0,3,False,True
city,provo-ut,https://www.creditdoc.co/city/provo-ut/,"Credit Repair & Financial Services in Provo, UT (2026)",Credit Repair & Financial Services in Provo,1530,175,12,21,0,0,False,True
city,pueblo-co,https://www.creditdoc.co/city/pueblo-co/,"Credit Repair & Financial Services in Pueblo, CO (2026)",Credit Repair & Financial Services in Pueblo,1432,175,10,21,0,0,False,True
city,raleigh-nc,https://www.creditdoc.co/city/raleigh-nc/,"Credit Repair & Financial Services in Raleigh, NC (2026)",Credit Repair & Financial Services in Raleigh,3553,219,42,21,0,5,False,True
city,rapid-city-sd,https://www.creditdoc.co/city/rapid-city-sd/,"Credit Repair & Financial Services in Rapid City, SD (2026)",Credit Repair & Financial Services in Rapid City,1804,180,12,21,0,0,False,True
city,reading-pa,https://www.creditdoc.co/city/reading-pa/,"Credit Repair & Financial Services in Reading, PA (2026)",Credit Repair & Financial Services in Reading,1468,173,10,21,0,0,False,True
city,richardson-tx,https://www.creditdoc.co/city/richardson-tx/,"Credit Repair & Financial Services in Richardson, TX (2026)",Credit Repair & Financial Services in Richardson,1763,181,13,21,0,1,False,True
city,richmond-va,https://www.creditdoc.co/city/richmond-va/,"Credit Repair & Financial Services in Richmond, VA (2026)",Credit Repair & Financial Services in Richmond,1657,179,14,21,0,0,False,True
city,riverdale-ga,https://www.creditdoc.co/city/riverdale-ga/,"Credit Repair & Financial Services in Riverdale, GA (2026)",Credit Repair & Financial Services in Riverdale,1385,173,10,21,0,0,False,True
city,riverside-ca,https://www.creditdoc.co/city/riverside-ca/,"Credit Repair & Financial Services in Riverside, CA (2026)",Credit Repair & Financial Services in Riverside,1732,179,15,21,0,1,False,True
city,roanoke-va,https://www.creditdoc.co/city/roanoke-va/,"Credit Repair & Financial Services in Roanoke, VA (2026)",Credit Repair & Financial Services in Roanoke,1619,177,12,21,0,0,False,True
city,rochester-mn,https://www.creditdoc.co/city/rochester-mn/,"Credit Repair & Financial Services in Rochester, MN (2026)",Credit Repair & Financial Services in Rochester,1521,177,12,21,0,0,False,True
city,rochester-ny,https://www.creditdoc.co/city/rochester-ny/,"Credit Repair & Financial Services in Rochester, NY (2026)",Credit Repair & Financial Services in Rochester,1757,178,15,21,0,0,False,True
city,rock-hill-sc,https://www.creditdoc.co/city/rock-hill-sc/,"Credit Repair & Financial Services in Rock Hill, SC (2026)",Credit Repair & Financial Services in Rock Hill,1808,181,13,21,0,1,False,True
city,round-rock-tx,https://www.creditdoc.co/city/round-rock-tx/,"Credit Repair & Financial Services in Round Rock, TX (2026)",Credit Repair & Financial Services in Round Rock,1753,181,15,21,0,0,False,True
city,sacramento-ca,https://www.creditdoc.co/city/sacramento-ca/,"Credit Repair & Financial Services in Sacramento, CA (2026)",Credit Repair & Financial Services in Sacramento,2922,206,35,21,0,4,False,True
city,saginaw-tx,https://www.creditdoc.co/city/saginaw-tx/,"Credit Repair & Financial Services in Saginaw, TX (2026)",Credit Repair & Financial Services in Saginaw,1378,175,10,21,0,0,False,True
city,saint-louis-mo,https://www.creditdoc.co/city/saint-louis-mo/,"Credit Repair & Financial Services in Saint Louis, MO (2026)",Credit Repair & Financial Services in Saint Louis,2135,188,20,21,0,2,False,True
city,saint-paul-mn,https://www.creditdoc.co/city/saint-paul-mn/,"Credit Repair & Financial Services in Saint Paul, MN (2026)",Credit Repair & Financial Services in Saint Paul,1889,182,18,21,0,1,False,True
city,salem-or,https://www.creditdoc.co/city/salem-or/,"Credit Repair & Financial Services in Salem, OR (2026)",Credit Repair & Financial Services in Salem,1512,177,12,21,0,0,False,True
city,salt-lake-city-ut,https://www.creditdoc.co/city/salt-lake-city-ut/,"Credit Repair & Financial Services in Salt Lake City, UT",Credit Repair & Financial Services in Salt Lake City,2359,195,24,21,0,2,False,True
city,san-antonio-tx,https://www.creditdoc.co/city/san-antonio-tx/,"Credit Repair & Financial Services in San Antonio, TX (2026)",Credit Repair & Financial Services in San Antonio,6175,265,69,21,0,12,False,True
city,san-diego-ca,https://www.creditdoc.co/city/san-diego-ca/,"Credit Repair & Financial Services in San Diego, CA (2026)",Credit Repair & Financial Services in San Diego,6194,265,76,21,0,11,False,True
city,san-francisco-ca,https://www.creditdoc.co/city/san-francisco-ca/,"Credit Repair & Financial Services in San Francisco, CA",Credit Repair & Financial Services in San Francisco,5434,258,72,21,0,9,False,True
city,san-jose-ca,https://www.creditdoc.co/city/san-jose-ca/,"Credit Repair & Financial Services in San Jose, CA (2026)",Credit Repair & Financial Services in San Jose,4779,241,57,21,0,6,False,True
city,san-mateo-ca,https://www.creditdoc.co/city/san-mateo-ca/,"Credit Repair & Financial Services in San Mateo, CA (2026)",Credit Repair & Financial Services in San Mateo,1784,179,14,21,0,0,False,True
city,san-ysidro-ca,https://www.creditdoc.co/city/san-ysidro-ca/,"Credit Repair & Financial Services in San Ysidro, CA (2026)",Credit Repair & Financial Services in San Ysidro,1685,176,13,21,0,0,False,True
city,sandy-springs-ga,https://www.creditdoc.co/city/sandy-springs-ga/,"Credit Repair & Financial Services in Sandy Springs, GA",Credit Repair & Financial Services in Sandy Springs,1623,175,12,21,0,0,False,True
city,santa-ana-ca,https://www.creditdoc.co/city/santa-ana-ca/,"Credit Repair & Financial Services in Santa Ana, CA (2026)",Credit Repair & Financial Services in Santa Ana,1739,180,13,21,0,0,False,True
city,santa-clara-ca,https://www.creditdoc.co/city/santa-clara-ca/,"Credit Repair & Financial Services in Santa Clara, CA (2026)",Credit Repair & Financial Services in Santa Clara,1855,183,13,21,0,0,False,True
city,sarasota-fl,https://www.creditdoc.co/city/sarasota-fl/,"Credit Repair & Financial Services in Sarasota, FL (2026)",Credit Repair & Financial Services in Sarasota,1875,179,14,21,0,1,False,True
city,scottsdale-az,https://www.creditdoc.co/city/scottsdale-az/,"Credit Repair & Financial Services in Scottsdale, AZ (2026)",Credit Repair & Financial Services in Scottsdale,2564,198,24,21,0,1,False,True
city,seattle-wa,https://www.creditdoc.co/city/seattle-wa/,"Credit Repair & Financial Services in Seattle, WA (2026)",Credit Repair & Financial Services in Seattle,4308,238,52,21,0,8,False,True
city,shreveport-la,https://www.creditdoc.co/city/shreveport-la/,"Credit Repair & Financial Services in Shreveport, LA (2026)",Credit Repair & Financial Services in Shreveport,1461,173,10,21,0,0,False,True
city,sioux-falls-sd,https://www.creditdoc.co/city/sioux-falls-sd/,"Credit Repair & Financial Services in Sioux Falls, SD (2026)",Credit Repair & Financial Services in Sioux Falls,1766,181,15,21,0,1,False,True
city,skokie-il,https://www.creditdoc.co/city/skokie-il/,"Credit Repair & Financial Services in Skokie, IL (2026)",Credit Repair & Financial Services in Skokie,1743,180,14,21,0,0,False,True
city,somerville-ma,https://www.creditdoc.co/city/somerville-ma/,"Credit Repair & Financial Services in Somerville, MA (2026)",Credit Repair & Financial Services in Somerville,1424,173,10,21,0,0,False,True
city,south-bend-in,https://www.creditdoc.co/city/south-bend-in/,"Credit Repair & Financial Services in South Bend, IN (2026)",Credit Repair & Financial Services in South Bend,1568,175,12,21,0,0,False,True
city,south-gate-ca,https://www.creditdoc.co/city/south-gate-ca/,"Credit Repair & Financial Services in South Gate, CA (2026)",Credit Repair & Financial Services in South Gate,1467,171,10,21,0,0,False,True
city,southfield-mi,https://www.creditdoc.co/city/southfield-mi/,"Credit Repair & Financial Services in Southfield, MI (2026)",Credit Repair & Financial Services in Southfield,2468,193,23,21,0,2,False,True
city,spartanburg-sc,https://www.creditdoc.co/city/spartanburg-sc/,"Credit Repair & Financial Services in Spartanburg, SC (2026)",Credit Repair & Financial Services in Spartanburg,1640,177,12,21,0,0,False,True
city,spokane-wa,https://www.creditdoc.co/city/spokane-wa/,"Credit Repair & Financial Services in Spokane, WA (2026)",Credit Repair & Financial Services in Spokane,1409,173,10,21,0,0,False,True
city,springfield-il,https://www.creditdoc.co/city/springfield-il/,"Credit Repair & Financial Services in Springfield, IL (2026)",Credit Repair & Financial Services in Springfield,1479,173,10,21,0,0,False,True
city,springfield-mo,https://www.creditdoc.co/city/springfield-mo/,"Credit Repair & Financial Services in Springfield, MO (2026)",Credit Repair & Financial Services in Springfield,1615,176,14,21,0,1,False,True
city,st-paul-mn,https://www.creditdoc.co/city/st-paul-mn/,"Credit Repair & Financial Services in St Paul, MN (2026)",Credit Repair & Financial Services in St Paul,1839,182,15,21,0,1,False,True
city,stafford-tx,https://www.creditdoc.co/city/stafford-tx/,"Credit Repair & Financial Services in Stafford, TX (2026)",Credit Repair & Financial Services in Stafford,1462,173,10,21,0,0,False,True
city,stamford-ct,https://www.creditdoc.co/city/stamford-ct/,"Credit Repair & Financial Services in Stamford, CT (2026)",Credit Repair & Financial Services in Stamford,1431,173,10,21,0,0,False,True
city,staten-island-ny,https://www.creditdoc.co/city/staten-island-ny/,"Credit Repair & Financial Services in Staten Island, NY",Credit Repair & Financial Services in Staten Island,2049,188,18,21,0,0,False,True
city,stockton-ca,https://www.creditdoc.co/city/stockton-ca/,"Credit Repair & Financial Services in Stockton, CA (2026)",Credit Repair & Financial Services in Stockton,1447,175,8,21,0,0,False,True
city,stone-mountain-ga,https://www.creditdoc.co/city/stone-mountain-ga/,"Credit Repair & Financial Services in Stone Mountain, GA",Credit Repair & Financial Services in Stone Mountain,1427,173,8,21,0,0,False,True
city,sugar-land-tx,https://www.creditdoc.co/city/sugar-land-tx/,"Credit Repair & Financial Services in Sugar Land, TX (2026)",Credit Repair & Financial Services in Sugar Land,1604,177,10,21,0,0,False,True
city,syracuse-ny,https://www.creditdoc.co/city/syracuse-ny/,"Credit Repair & Financial Services in Syracuse, NY (2026)",Credit Repair & Financial Services in Syracuse,1695,178,14,21,0,1,False,True
